EmployeeID,EmployeeName,Employee_ID,Name,Department,Monthly_Salary,Income_Tax,PF_Contribution,Insurance_Deduction,Other_Deductions,Net_Salary,Rent_Expense,Grocery_Expense,EMI_or_Loan_Payment,Entertainment_Expense,Other_Expenses,Savings_Amount,Investments,Total_Expenditure,Profit,Class
EMP10000,Neha Bansal,39,Employee_39,Tech,58871,3984,7049,2890,4278,40234,10620,5471,13483,2848,1888,2617,11652,34747,-8386,Low
EMP10001,Riya Bansal,29,Employee_29,Sales,56202,6798,6916,1686,2472,38856,9424,6250,1925,6524,3631,11946,8424,27879,-8168,Low
EMP10002,Ishaan Iyer,15,Employee_15,Sales,101526,14600,12132,2862,4853,66180,5084,7853,5313,4980,1098,5695,6955,24366,29068,High
EMP10003,Kavya Mehta,43,Employee_43,Sales,99006,12035,12107,2937,2083,71821,10852,6535,1142,6506,4812,12855,11296,29839,17931,High
EMP10004,Sanjay Khan,9,Employee_8,Sales,49951,4825,6197,1540,2276,36057,16157,5665,13766,1437,1953,3126,13996,39267,-19947,Low
EMP10005,Aadhya Kapoor,21,Employee_21,HR,82693,5804,9942,1222,4020,62111,10972,6467,6745,4920,4552,3942,12093,33655,11850,High
EMP10006,Reyansh Sharma,40,Employee_39,Tech,58995,4022,7072,2876,4220,41021,10589,5567,13336,2887,1960,2772,11844,34665,-7847,Low
EMP10007,Pooja Kapoor,18,Employee_19,HR,33678,3484,3878,1484,2254,20162,5118,3572,11456,6158,1274,9627,2267,27699,-18124,Low
EMP10008,Ishaan Chaudhary,23,Employee_23,HR,65543,6505,8072,2774,1074,48812,12459,7499,1787,1480,3642,19836,14489,26372,-13079,Low
EMP10009,Aarav Kulkarni,11,Employee_11,HR,96080,9650,11532,2542,874,72138,19242,3877,2502,6155,1714,15700,10786,33329,11467,High
EMP10010,Sai Bansal,11,Employee_11,HR,97583,9652,11707,2507,944,72273,19149,3843,2429,6163,1647,16144,10764,33302,11500,High
EMP10011,Diya Kapoor,24,Employee_24,Tech,41183,5966,5083,2726,2395,26064,7611,6358,8136,4934,1888,15192,2077,28668,-19832,Low
EMP10012,Anika Mehta,36,Employee_36,Marketing,35750,2729,4218,2826,830,24390,20085,5899,3542,6587,2031,5350,6835,37881,-25278,Low
EMP10013,Arjun Jain,40,Employee_40,Marketing,82904,6726,9939,2764,1098,61573,17573,5340,5766,6329,3080,15158,12018,37860,-2715,Low
EMP10014,Riya Rana,24,Employee_24,Tech,42247,6067,5106,2709,2479,25667,7804,6349,7860,4999,1867,15235,1921,28911,-18819,Low
EMP10015,Shaurya Chopra,3,Employee_3,Sales,84534,5997,10146,2206,2801,63273,18311,3017,12535,2296,3845,15669,6681,39934,1060,Low
EMP10016,Aditya Sethi,22,Employee_22,Tech,37273,3388,4707,1689,1406,27621,9069,4530,2991,5385,2807,6425,8010,25322,-12093,Low
EMP10017,Anika Chopra,2,Employee_2,Marketing,85134,4480,10342,1178,2314,67296,8900,7117,9904,1222,3286,8524,12872,30730,15207,High
EMP10018,Sai Jain,23,Employee_24,Tech,42901,5982,5007,2737,2446,25138,7973,6295,7921,4974,1870,15130,2132,29072,-19371,Low
EMP10019,Neha Iyer,44,Employee_44,Sales,118967,15721,14074,2497,2945,81279,13214,5507,10876,4418,2375,15011,12403,36456,17447,High
EMP10020,Aarav Kapoor,29,Employee_30,HR,40782,2224,4775,2282,1374,29234,6013,7467,3361,5241,2119,6031,6717,24261,-8230,Low
EMP10021,Pooja Kapoor,37,Employee_38,Finance,74107,9209,8887,1852,2532,51070,9318,4341,12852,6746,1422,14495,1686,35050,863,Low
EMP10022,Aarav Joshi,2,Employee_2,Marketing,85432,4459,10219,1177,2290,66540,8878,7131,9836,1206,3315,8455,12709,30096,15222,High
EMP10023,Ishaan Singh,21,Employee_21,HR,83418,5843,10065,1213,4013,62003,10904,6422,6566,4745,4527,3958,11809,33085,13420,High
EMP10024,Sai Singh,33,Employee_33,Finance,109087,7679,13129,1695,2207,85460,16403,5153,8387,4950,2041,3515,2354,36702,41690,High
